,city,year,month,day,hour,title,city_sector,address,intersection,latitude,longitude
3318,Toronto,2019,5,12,0,Eifman Ballet: Tchaikovsky - Pro et Contra,NA,"L Tower, 1 Front St E, Toronto, ON M5E 1B2, Canada",NA,43.6466495,-79.37594580000001
3319,Toronto,2019,7,14,14,The Moon: A Voyage Through Time,NA,"77 Wynford Dr, Toronto, ON M3C 1K1, Canada",NA,43.72524540000001,-79.33210480000002
3320,Toronto,2019,4,19,0,Shove it Down My Throat,NA,"12 Alexander St, Toronto, ON M4Y 1B4, Canada",NA,43.6633185,-79.38306590000002
3321,Toronto,2019,5,1,23,Dinner With A View,NA,"250 Fort York Blvd, Toronto, ON M5V 3K9, Canada",NA,43.6374082,-79.40664609999999
3322,Toronto,2019,4,18,0,Dry Powder,NA,"5040 Yonge St, North York, ON M2N 6R8, Canada",NA,43.7662845,-79.4141305
3323,Toronto,2019,7,30,20,DIY Drop-In Bike Repair,NA,"3939 Lawrence Ave E, Scarborough, ON M1G 1R9, Canada",NA,43.763586,-79.20535689999997
3324,Toronto,2014,6,14,8,27th Annual Queens Drive Street Sale,Northwest,1 Queens Drive,Jane St. and Lawrence Ave. W,,
3325,Toronto,2019,1,22,15,Toronto Through the Eyes of Women Artists,NA,"95 Front St E, Toronto, ON M5E 1C3, Canada",NA,43.64873009999999,-79.37154090000001
3326,Toronto,2019,6,15,17,Tour and Taste Weekends,NA,"5172 Yonge St, Toronto, ON M2N 0G1, Canada",NA,43.7696779,-79.4131304
3327,Toronto,2014,7,23,12,Fancy Franks’ National Hot Dog Day: Free Hot Dogs in support of SickKids,Downtown,326 College Street,College Street and Spadina Avenue,43.6576819928,-79.4027179306
3328,Toronto,2019,3,22,14,Migration Trail,NA,"4709 Dundas St W, Etobicoke, ON M9A 1A8, Canada",NA,43.651723,-79.5256961
3329,Toronto,2019,9,13,15,A Tapestry of Spirit: The Torah Stitch by Stitch Project,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3330,Toronto,2019,3,12,14,ROM  March Break 2019,NA,"100 Queens Park, Toronto, ON M5S 2C6, Canada",NA,43.6677097,-79.3947771
3331,Toronto,2014,6,2,10,3D White Passion by Maestro GH.Nami,City-wide,,Bayview Ave and Sheppard Ave E,,
3332,Toronto,2019,3,17,17,Tour and Taste Weekends,NA,"5172 Yonge St, Toronto, ON M2N 0G1, Canada",NA,43.7696779,-79.4131304
3333,Toronto,2019,6,29,17,Tour and Taste Weekends,NA,"5172 Yonge St, Toronto, ON M2N 0G1, Canada",NA,43.7696779,-79.4131304
